Gene	NAD.count	total.count
AT2G27710.3	1	5
AT2G27710.4	1	4
AT2G28840.1	1	1
AT2G28840.2	1	1
AT2G29310.1	1	1
AT2G29310.2	1	1
AT2G29310.3	1	1
AT2G29310.4	1	1
AT2G29340.1	1	1
AT2G29340.2	1	1
AT2G29340.3	1	1
AT2G29340.4	1	1
AT2G30570.1	24	50
AT2G30860.1	2	6
AT2G30860.2	1	3
AT2G31090.1	1	1
AT2G31490.1	2	2
AT2G31810.1	1	1
AT2G31810.2	1	1
AT2G31810.3	1	1
AT2G32580.1	1	1
AT2G32580.2	1	1
AT2G33040.1	1	2
AT2G34070.1	1	1
AT2G34070.2	1	1
AT2G34420.1	4	68
AT2G34430.1	2	32
AT2G34480.1	2	4
AT2G34480.2	2	4
AT2G35360.1	1	1
AT2G35360.2	1	1
AT2G35360.3	1	1
AT2G35470.1	1	1
AT2G36320.1	1	2
AT2G36790.1	1	1
AT2G36792.1	1	1
AT2G36792.2	1	1
AT2G36792.3	1	1
AT2G36830.1	1	11
AT2G37640.1	1	1
AT2G37640.2	1	1
AT2G38140.1	1	9
AT2G38530.1	1	4
AT2G38540.1	3	11
AT2G39460.1	2	3
AT2G39460.2	2	3
AT2G39730.1	2	41
AT2G39730.2	2	39
AT2G39730.3	2	40
AT2G40880.1	1	1
AT2G41312.1	1	1
AT2G41312.2	1	1
AT2G42220.1	1	2
AT2G42870.1	1	1
AT2G42910.1	1	2
AT2G44060.1	2	2
AT2G44060.2	2	2
AT2G44600.1	1	1
AT2G45180.1	8	41
AT2G45820.1	3	6
AT2G45960.1	2	14
AT2G45960.2	2	11
AT2G45960.3	2	14
AT2G46230.1	1	1
AT2G46230.2	1	1
AT2G46330.1	2	3
AT2G46330.2	1	3
AT2G46540.1	1	1
AT2G46820.1	2	15
AT2G46820.2	2	15
AT2G47470.1	1	2
AT2G47470.2	1	2
AT2G47470.3	1	2
AT2G47710.1	2	4
AT2G47730.1	1	7
AT2G47730.2	1	7
AT2G47930.1	2	2
AT3G01500.3	1	29
AT3G01500.4	1	28
AT3G01860.1	1	1
AT3G01860.2	1	1
AT3G02180.1	2	3
AT3G02180.2	2	3
AT3G02180.3	2	3
AT3G02900.1	1	2
AT3G02900.2	1	2
AT3G03150.1	2	6
AT3G04230.1	1	2
AT3G04400.1	3	9
AT3G04400.2	3	9
AT3G04640.1	1	1
AT3G04640.2	1	1
AT3G04840.1	1	8
AT3G05020.1	1	1
AT3G05590.1	2	6
AT3G05590.2	2	6
AT3G05590.3	2	6
AT3G06730.1	1	1
AT3G07480.1	1	2
AT3G07910.1	1	1
AT3G08610.1	1	2
AT3G08940.1	2	28
AT3G08940.2	2	29
AT3G09390.1	1	4
AT3G09390.2	1	4
AT3G11120.1	1	2
AT3G11500.2	1	1
AT3G11940.1	2	5
AT3G11940.2	2	5
AT3G12260.1	1	1
AT3G13520.1	1	3
